Country Name,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Syrian Arab Republic,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,37.0979894516,41.3596885295,41.1759204414,37.1060541005,38.0468309954,31.2302675845,31.3165785047,45.6682368154,54.969512852,53.4419988102,52.6131845582,..,..,..
Syrian Arab Republic,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Syrian Arab Republic,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,50.0892255225,45.8745133273,45.808523241,50.513811364,51.3719389534,59.7691630868,61.6897837798,50.0230904221,39.4458449141,38.745984533,37.0078235219,..,..,..
Syrian Arab Republic,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,87.187214974,87.2342018568,86.9844436824,87.6198654644,89.4187699488,90.9994306713,93.0063622846,95.6913272375,94.4153577661,92.1879833432,89.62100808,..,..,..
Syrian Arab Republic,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Syrian Arab Republic,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0,0,0,0,0,0,0,0,0,0,0,..,..,..
Syrian Arab Republic,Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,6.1548613082,..,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Employers, female (% of employment)",SL.EMP.MPYR.FE.ZS,..,1.3999999762,..,..,2.5,2,2.0999999046,0.8000000119,0.1000000015,0.1000000015,..,..,..,..
Syrian Arab Republic,"Employers, male (% of employment)",SL.EMP.MPYR.MA.ZS,..,9.8000001907,..,..,10.5,9.3999996185,8,4.4000000954,4.0999999046,4.1999998093,..,..,..,..
Syrian Arab Republic,"Employers, total (% of employment)",SL.EMP.MPYR.ZS,..,8.3000001907,..,..,9.5,8.5,7.1999998093,4,4.1999998093,4.4000000954,..,..,..,..
Syrian Arab Republic,Employment in agriculture (% of total employment),SL.AGR.EMPL.ZS,32.9000015259,30.6000003815,..,..,19.6000003815,19.1000003815,14.5,15.1999998093,15.1999998093,13.1999998093,..,..,..,..
Syrian Arab Republic,"Employment in agriculture, female (% of female employment)",SL.AGR.EMPL.FE.ZS,61.7000007629,56.7000007629,..,..,26.8999996185,26.2999992371,24.8999996185,19.5,22.2000007629,12.3000001907,..,..,..,..
Syrian Arab Republic,"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,26.2000007629,25.5,..,..,18.5,18.1000003815,15.3999996185,14.5,14.6000003815,13.3999996185,..,..,..,..
Syrian Arab Republic,Employment in industry (% of total employment),SL.IND.EMPL.ZS,26.1000003815,26.2000007629,..,..,28.2999992371,29.1000003815,31.7000007629,32.5,32.9000015259,31.3999996185,..,..,..,..
Syrian Arab Republic,"Employment in industry, female (% of female employment)",SL.IND.EMPL.FE.ZS,7.5,8,..,..,8.6999998093,7.8000001907,9,9.6999998093,9.1999998093,9.5,..,..,..,..
Syrian Arab Republic,"Employment in industry, male (% of male employment)",SL.IND.EMPL.MA.ZS,30.3999996185,29.7999992371,..,..,31.2000007629,32.2000007629,33.7999992371,35.7999992371,36.7999992371,34.5,..,..,..,..
Syrian Arab Republic,Employment in services (% of total employment),SL.SRV.EMPL.ZS,41,43.0999984741,..,..,52.0999984741,51.7999992371,52.9000015259,52.2999992371,53,55.2999992371,..,..,..,..
Syrian Arab Republic,"Employment in services, female (% of female employment)",SL.SRV.EMPL.FE.ZS,30.7999992371,35.2999992371,..,..,64.4000015259,65.9000015259,66.0999984741,70.8000030518,68.5999984741,78.1999969482,..,..,..,..
Syrian Arab Republic,"Employment in services, male (% of male employment)",SL.SRV.EMPL.MA.ZS,43.4000015259,44.7000007629,..,..,50.2999992371,49.7000007629,50.7000007629,49.5999984741,50.7000007629,52.0999984741,..,..,..,..
Syrian Arab Republic,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,15.8999996185,14.3999996185,13.8000001907,12.6000003815,11.3999996185,11.1000003815,11.1999998093,10.1000003815,10.1999998093,9.3999996185,9.5,9.5,9.8000001907,..
Syrian Arab Republic,"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,20.7999992371,16.5,..,..,..,10.5,11.1999998093,10.1000003815,10.1000003815,..,..,..,..,..
Syrian Arab Republic,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,75.4000015259,73.5999984741,71.5999984741,71.3000030518,71.5,70.9000015259,67.8000030518,68.4000015259,68.4000015259,66.6999969482,66.8000030518,66.9000015259,67.0999984741,..
Syrian Arab Republic,"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,80.4000015259,77.1999969482,..,..,..,69.8000030518,67,67.6999969482,67.6999969482,..,..,..,..,..
Syrian Arab Republic,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,46,44.4000015259,43.2999992371,42.5999984741,42.0999984741,41.5999984741,40.0999984741,39.7999992371,39.7999992371,38.5,38.5999984741,38.7000007629,38.9000015259,..
Syrian Arab Republic,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,51.2999992371,47.5,..,..,..,40.5,39.5,39.5,39,..,..,..,..,..
Syrian Arab Republic,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,12.1000003815,10.3999996185,10.6999998093,8.8999996185,7,6.3000001907,6,5.3000001907,5.5,2.7000000477,2.7000000477,2.7999999523,3.2000000477,..
Syrian Arab Republic,"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,..,..,..,..,..,..,5.9000000954,5.1999998093,5,..,..,..,..,..
Syrian Arab Republic,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,55.5,53,50.5999984741,48.9000015259,47.7000007629,47.0999984741,44.4000015259,44.4000015259,42.4000015259,36.5999984741,36.4000015259,36.7999992371,37.5999984741,..
Syrian Arab Republic,"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,..,..,..,..,..,..,43.7000007629,43.7999992371,42.4000015259,..,..,..,..,..
Syrian Arab Republic,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,34.2000007629,32.0999984741,31.1000003815,29.3999996185,27.8999996185,27.2000007629,25.7000007629,25.3999996185,24.5,20.1000003815,20.1000003815,20.3999996185,21,..
Syrian Arab Republic,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,..,..,..,..,..,..,25.1000003815,24.8999996185,24,..,..,..,..,..
Syrian Arab Republic,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-109.4307547369,-118.4329670207,-59.9851100437,-27.008382866,-16.3186041549,-6.1938101937,-4.2729336741,-12.6266255892,-27.7451773349,-25.4948648794,10.3567135629,..,..,..
Syrian Arab Republic,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.3548206827,7.0290684836,6.951216821,7.5860823204,7.5126063478,7.494862563,7.267390907,6.3067799533,6.2198664939,5.8606117641,4.3363703058,..,..,..
Syrian Arab Republic,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,63.0876847916,..,..,51.6897455719,..,..,45.4621794974,..,49.7410649452,..,..,..,..,..
Syrian Arab Republic,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,2774922,2835023,2192764,2252145,2279545,2310168,2356403,2383223,2429450,2507400,2552874,1547316,..,..
Syrian Arab Republic,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,1069040,1124752,2249116,2389383,2464688,2549444,2626228,2664335,2731825,2820911,2875612,1857140,..,..
Syrian Arab Republic,"Enrolment in secondary general, both sexes (number)",SE.SEC.ENRL.GC,955290,1010157,2120654,2267027,2350694,2445871,2525970,2562568,2625382,2697578,2746937,1768571,..,..
Syrian Arab Republic,"Enrolment in secondary vocational, both sexes (number)",SE.SEC.ENRL.VO,113750,114595,128462,122356,113994,103573,100258,101767,106443,123333,128675,88569,..,..
Syrian Arab Republic,Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,81,..,..,..,28.7,..,..,42.6,..,..,..,..,..,..
Syrian Arab Republic,Expenditure on education as % of total government expenditure (%),SE.XPD.TOTL.GB.ZS,..,15.6620597839,17.1453990936,..,20.0484790802,18.9259300232,20.0407905579,19.1840496063,..,..,..,..,..,..
Syrian Arab Republic,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,..,..,..,..,..,42.8105392456,..,38.8727607727,..,..,..,..,..,..
